Territory,Population
Afghanistan,37172386
Albania,2866376
Algeria,42228429
Andorra,77006
Antigua and Barbuda,96286
Argentina,44494502
Armenia,2951776
Aruba,105845
Australia,24992369
Austria,8847037
Azerbaijan,9942334
Bahrain,1569439
Bangladesh,161356039
Belarus,9485386
Belgium,11422068
Bhutan,754394
Bolivia,11353142
Bosnia and Herzegovina,3323929
Brazil,209469333
Brunei,428697
Bulgaria,7024216
Burkina Faso,19751535
Cambodia,16249798
Cameroon,25216237
Canada,37058856
Cayman Islands,64174
Chile,18729160
China,1392730000
China - Hubei,58500000
Colombia,49648685
Congo (Kinshasa),84068091
Costa Rica,4999441
Cote d'Ivoire,25069229
Croatia,4089400
Cruise Ship,2670
Cuba,11338138
Curacao,159849
Cyprus,1189265
Czechia,10625695
Denmark,5797446
Dominican Republic,10627165
Ecuador,17084357
Egypt,98423595
Estonia,1320884
Eswatini,1136191
Ethiopia,109224559
Finland,5518050
France,66987244
French Guiana,290691
Gabon,2119275
Georgia,3731000
Germany,82927922
Ghana,29767108
Greece,10727668
Guadeloupe,395700
Guatemala,17247807
Guernsey,66697
Guinea,12414318
Guyana,779004
Holy See,1000
Honduras,9587522
Hungary,9768785
Iceland,353574
India,1352617328
Indonesia,267663435
Iran,81800269
Iraq,38433600
Ireland,4853506
Israel,8883800
Italy,60431283
Jamaica,2934855
Japan,126529100
Jersey,97857
Jordan,9956011
Kazakhstan,18276499
Kenya,51393010
"Korea, South",51635256
Kuwait,4137309
Latvia,1926542
Lebanon,6848925
Liechtenstein,37910
Lithuania,2789533
Luxembourg,607728
Malaysia,31528585
Maldives,515696
Malta,483530
Martinique,376480
Mauritania,4403319
Mexico,126190788
Moldova,3545883
Monaco,38682
Mongolia,3170208
Morocco,36029138
Namibia,2448255
Nepal,28087871
Netherlands,17231017
New Zealand,4885500
Nigeria,195874740
North Macedonia,2082958
Norway,5314336
Oman,4829483
Pakistan,212215030
Panama,4176873
Paraguay,6956071
Peru,31989256
Philippines,106651922
Poland,37978548
Portugal,10281762
Qatar,2781677
Reunion,859959
Romania,19473936
Russia,144478050
Rwanda,12301939
Saint Lucia,178844
Saint Vincent and the Grenadines,109897
San Marino,33785
Saudi Arabia,33699947
Senegal,15854360
Serbia,6982084
Seychelles,96762
Singapore,5638676
Slovakia,5447011
Slovenia,2067372
South Africa,57779622
Spain,46723749
Sri Lanka,21670000
Sudan,41801533
Suriname,575991
Sweden,10183175
Switzerland,8516543
Taiwan*,23780000
Thailand,69428524
Togo,7889094
Trinidad and Tobago,1389858
Tunisia,11565204
Turkey,82319724
US,327167434
Ukraine,44622516
United Arab Emirates,9630959
United Kingdom,66488991
Uruguay,3449299
Venezuela,28870195
Vietnam,95540395
occupied Palestinian territory,4685000
Central African Republic,4659000
Congo (Brazzaville),5261000
Equatorial Guinea,1268000
Kosovo,1831000
Uzbekistan,32390000
Benin,11180000
Greenland,56171
Guam,164229
Liberia,4732000
Mayotte,270372
Puerto Rico,3195000
Republic of the Congo,81340000
Somalia,17740000
Tanzania,57310000
The Bahamas,395361
